05/17/21 23:03:38:545 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8821 | AdobeGCInvokerUtility : inside getLatestGCApplication
05/17/21 23:03:38:546 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8821 | ***********AdobeGC Updater library invoked = 7.3.0.197 ************
05/17/21 23:03:38:546 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8821 | Perform WF started
05/17/21 23:03:38:546 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8821 | Perform WF completed
05/17/21 23:03:38:546 | [DEBUG] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8832 | Trying to acquire the semaphore
05/17/21 23:03:38:546 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8821 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
05/17/21 23:03:38:546 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 8832 | Semaphore acquired
05/17/21 23:03:38:546 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8832 | Threaded CFU Started
05/17/21 23:03:38:546 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8832 | Get client install path Started
05/17/21 23:03:38:547 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8832 | Get client install path Ended
05/17/21 23:03:38:547 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8832 | Client sanitization started
05/17/21 23:03:38:547 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 8832 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/17/21 23:03:39:041 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 8832 | Status returned is 0 
05/17/21 23:03:39:041 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 8832 | Code signature is OK. 
05/17/21 23:03:39:042 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 8832 | Completed VerifyCodeSign. 
05/17/21 23:03:39:044 | [INFO] |  |  |  | AdobeGCVersionWrapper |  |  | 8832 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/17/21 23:03:39:054 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8832 | Client sanitization ended
05/17/21 23:03:39:055 | [INFO] |  |  |  | AdobeGCClientHealthUtil |  |  | 8832 | Checking CEF dependencies
05/17/21 23:03:39:057 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8832 | Threaded CFU Ended
05/17/21 23:03:39:058 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8832 | Semaphore signalled
05/17/21 23:03:39:547 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8821 | AdobeGCInvokerUtility :  AdobeGC_CFUCallbackFn is invoked
05/17/21 23:03:39:547 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8821 | AdobeGCInvokerUtility : inside invokeGCApplicationForNGL.
05/17/21 23:03:39:547 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8821 | ***********AdobeGC Updater library invoked = 7.3.0.197 ************
05/17/21 23:03:39:548 | [DEBUG] |  |  |  | AdobeGCUpdaterNGLIC |  |  | 8821 | Trying to acquire the semaphore
05/17/21 23:03:39:548 | [DEBUG] |  |  |  | AdobeGCUpdaterNGLIC |  |  | 8821 | Semaphore acquired
05/17/21 23:03:39:548 | [INFO] |  |  |  | AdobeGCUpdaterNGLIC |  |  | 8821 | Perform WF started
05/17/21 23:03:39:548 | [INFO] |  |  |  | AdobeGCUpdaterNGLIC |  |  | 8821 | Invoking GC client started
05/17/21 23:03:39:548 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8821 | Get client install path Started
05/17/21 23:03:39:548 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8821 | Get client install path Ended
